time,risingwave,clickhouse,malut_clone
15:07:30,812,386,76
15:07:33,779,374,76
15:07:36,768,412,76
15:07:40,784,395,76
15:07:43,783,468,76
15:07:46,786,410,76
15:07:50,774,424,76
15:07:53,773,423,76
15:07:56,773,414,76
15:08:00,772,426,76
15:08:03,774,420,76
15:08:06,774,428,76
15:08:10,774,418,76
15:08:13,771,432,76
15:08:16,776,421,76
15:08:20,777,426,76
15:08:23,777,446,76
15:08:26,777,432,76
15:08:30,777,442,76
15:08:33,777,441,76
15:08:36,776,451,76
15:08:40,778,447,76
15:08:43,778,438,76
15:08:46,778,442,76
15:08:50,779,443,76
15:08:53,817,455,110
15:08:56,1046,461,110
15:09:00,1150,522,110
15:09:03,1225,496,110
15:09:07,1630,559,110
15:09:10,1787,513,110
15:09:13,2024,548,110
15:09:17,2092,711,110
15:09:20,2015,548,110
15:09:23,2008,532,110
15:09:26,1984,527,110
15:09:30,1983,534,110
15:09:33,1978,536,110
15:09:36,1972,574,110
15:09:40,1971,534,110
15:09:43,1971,519,110
15:09:46,1972,532,110
15:09:50,1977,527,110
15:09:53,1976,534,110
15:09:56,1976,533,110
15:10:00,1968,544,110
15:10:03,1971,532,110
15:10:06,1972,546,110
15:10:10,1972,538,110
15:10:13,1971,539,110
15:10:16,1980,569,110
15:10:20,1979,547,110
15:10:23,1979,558,110
15:10:26,1975,554,110
15:10:30,1973,565,110
15:10:33,1973,553,110
15:10:36,1970,562,110
15:10:40,1973,567,110
15:10:43,1973,554,110
15:10:46,1973,567,110
15:10:50,1974,559,110
15:10:53,1975,603,110
15:10:56,1975,556,110
15:11:00,1974,568,110
15:11:03,1976,562,110
15:11:07,1976,564,110
15:11:10,1976,566,110
15:11:13,1972,568,110
15:11:17,1975,574,191
15:11:20,1975,567,191
15:11:23,1973,579,191
15:11:27,2114,579,170
15:11:30,2443,587,170
15:11:33,2800,642,170
15:11:37,2935,673,170
15:11:40,3142,610,170
15:11:43,3365,628,170
15:11:47,3472,678,170
15:11:50,3614,643,170
15:11:53,3730,663,170
15:11:57,3732,731,172
15:12:00,3870,630,172
15:12:03,3950,646,171
15:12:07,4106,726,171
15:12:10,4228,672,170
15:12:13,4316,647,169
15:12:17,4525,658,168
15:12:20,4727,674,168
15:12:23,4827,667,167
15:12:27,4870,732,164
15:12:30,4950,657,164
15:12:33,5138,668,164
15:12:37,5206,686,163
15:12:40,5297,651,163
15:12:43,5306,680,162
15:12:47,5251,692,162
15:12:50,5122,659,162
15:12:53,5099,638,162
15:12:57,5099,644,162
15:13:00,5099,636,162
15:13:03,5079,644,162
15:13:07,5079,639,164
15:13:10,5079,646,164
15:13:13,5074,645,164
15:13:17,5086,636,164
15:13:20,5087,652,164
15:13:23,5086,641,164
15:13:27,5085,684,164
15:13:30,5088,656,164
15:13:33,5088,657,164
15:13:37,5078,650,164
15:13:40,5081,658,164
15:13:43,5082,657,164
15:13:47,5082,648,164
15:13:50,5079,659,164
15:13:53,5083,651,164
15:13:57,5083,665,164
15:14:00,5082,657,164
15:14:03,5085,721,164
